Bluetooth	Width	Height	Thick	Weight	Memory card	OS	SoC	Wi-Fi	GPU core	CPU core	SIM type	Number of SIM cards	USB type	USB version	Position tracking	Display size	Display resolution	Display color depth	Image resolution	Video resolution	FPS	Battery type	Battery power	RAM	Storage	Price range
1					micro	Android	qualcomm	1	No info	8	Nano	2.0 cards	Micro USB	version 2.0	1	6.18	2.4	24	15.9	8.3	30.0	Li-Polymer	5000.0	6.0	64.0	0
1	70.5	147.7	8.6	144.0	micro	Android	qualcomm	1	No info	4	Nano	2.0 cards	Micro USB	version 2.0	1	5.45	1.0	24	13.0	2.1	30.0	Li-Polymer	3200.0	3.0	16.0	0
1	76.0	155.0	8.5	170.0	micro	Android	qualcomm	1	No info	8	Nano	2.0 cards	Micro USB	version 2.0	1	5.5	2.1	24	13.0	2.1	30.0	Li-Polymer	4000.0	4.0	32.0	0
1	76.0	152.0	8.25	156.0	micro	Android	qualcomm	1	No info	8	Nano	2.0 cards	Micro USB	version 2.0	1	5.5	2.1	24	13.0	2.1	30.0	Li-Polymer	4000.0	6.0	32.0	0
1	80.0	156.5	8.3	175.0	micro	Android	qualcomm	1	No info	4	Nano	2.0 cards	USB Type-C	version 2.0	1	6.0	2.1	24	13.0	8.3	30.0	Li-Ion	3700.0	6.0	128.0	1
1	74.0	149.5	8.5	164.0	micro	Android	qualcomm	1	No info	8	Nano	2.0 cards	USB Type-C	version 2.0	1	5.5	2.1	24	13.0	8.3	30.0	Li-Ion	3200.0	4.0	128.0	1
1	74.6	151.3	8.35	169.0	micro	Android	mediatek	1	4	No info	Nano	2.0 cards	Micro USB	version 2.0	1	5.5	2.1	24	15.9	2.1	30.0	Li-Polymer	5000.0	4.0	32.0	0
1	75.7	149.0	8.3	140.0	micro	Android	mediatek	1	4	No info	Nano	2.0 cards	Micro USB	version 2.0	1	5.5	2.1	24	13.0	2.1	30.0	Li-Polymer	3080.0	4.0	32.0	0
1	238.2	172.2	9.98	549.0	micro	Chrome	rockchip	1	4	6	No info	nan cards	USB Type-C	version nan	0	9.7	3.1	24	5.2	2.1	30.0	Li-Polymer		4.0	32.0	1
1	76.8	156.6	8.5	150.0	micro	Microsoft	qualcomm	1	No info	6	Nano	2.0 cards	USB Type-C	version 2.0	1	5.5	2.1	24	21.5	8.3	30.0	Li-Polymer	2800.0	3.0	32.0	0
